DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2023
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"313925 MAMONAS";-;-;1;-;-;-;-;1;1;-;4;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"313930 MANGA";1;20;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;1;1;-;106
"313940 MANHUACU";-;-;1;11;18;23;22;33;117;162;233;273;305;298;399;390;396;361;393;347;249;187;135;81;78;54;22;11;7;6;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;9;4627
"313950 MANHUMIRIM";-;-;1;-;1;-;-;3;13;17;32;73;81;67;119;76;57;53;64;79;59;29;21;22;12;2;1;2;2;3;3;-;-;1;1;-;1;-;-;3;-;2;-;-;2;-;1;1;3;-;5;1;913
"313960 MANTENA";1;-;-;-;3;-;8;10;2;-;2;1;-;-;4;5;4;6;3;2;5;6;2;1;4;9;4;4;6;1;3;-;1;-;4;-;3;2;1;5;1;4;2;3;-;1;13;24;14;29;21;6;230
"313970 MARAVILHAS";-;-;-;1;-;1;1;-;3;7;5;4;5;7;14;16;15;10;12;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;4;8;12;8;4;-;-;-;2;5;1;156
"313980 MAR DE ESPANHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"313990 MARIA DA FE";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314000 MARIANA";-;3;-;6;3;5;19;22;32;69;89;145;198;235;222;250;197;220;161;93;61;34;25;15;9;4;4;2;2;1;-;-;-;1;1;1;-;2;-;-;1;2;1;6;11;6;5;10;7;10;5;4;2199
"314010 MARILAC";-;-;-;-;-;-;1;1;-;2;1;3;-;-;-;-;3;1;2;2;3;3;3;8;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;39
"314015 MARIO CAMPOS";-;-;1;-;-;1;-;-;-;1;2;8;1;-;1;1;1;-;-;-;-;-;-;6;-;1;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;3;4;-;43
"314030 MARLIERIA";-;-;1;-;-;-;-;-;1;1;2;3;1;-;-;3;1;3;2;7;1;1;3;1;3;1;1;1;1;2;3;1;-;1;3;5;2;1;1;2;3;6;4;2;7;6;11;18;20;15;4;-;155
"314050 MARTINHO CAMPOS";-;-;-;-;-;-;-;5;2;1;3;2;14;24;56;41;25;37;24;18;14;24;25;16;8;5;7;7;1;1;2;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;3;2;-;1;1;-;373
"314053 MARTINS SOARES";-;-;-;-;-;-;-;1;6;9;7;16;16;14;13;20;22;3;1;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138
"314055 MATA VERDE";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314060 MATERLANDIA";-;-;-;-;2;-;1;2;8;8;10;28;6;12;12;13;11;9;12;10;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;152
"314070 MATEUS LEME";-;-;-;-;2;2;3;6;5;6;7;11;26;9;33;36;36;30;27;26;17;19;3;7;11;1;2;1;-;-;1;-;-;-;-;-;1;1;1;-;-;2;2;1;4;3;6;35;25;63;60;51;582
"314080 MATIAS BARBOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;1;1;-;11
"314090 MATIPO";-;-;-;1;-;6;9;52;112;88;89;112;116;44;51;24;40;23;18;1;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;793
"314100 MATO VERDE";-;-;-;-;4;3;5;3;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"314110 MATOZINHOS";-;-;1;1;-;2;2;2;4;1;16;5;2;2;5;5;7;9;3;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;4;1;4;84
"314120 MATUTINA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"314140 MEDINA";-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"314150 MENDES PIMENTEL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314160 MERCES";-;-;-;-;-;-;-;-;-;2;5;4;2;5;7;14;5;11;17;7;6;7;7;14;3;1;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"314170 MESQUITA";-;1;-;-;-;1;2;3;3;3;1;4;6;1;2;6;3;3;4;1;1;1;7;4;2;4;1;-;-;2;2;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;2;-;2;77
"314180 MINAS NOVAS";-;1;2;-;1;-;-;-;1;-;1;-;2;3;4;2;2;3;6;3;3;1;1;-;-;2;1;-;-;1;-;-;-;-;-;-;1;2;4;6;5;11;25;15;29;27;41;68;97;130;59;47;607
"314200 MIRABELA";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"314210 MIRADOURO";-;-;-;-;6;9;6;10;13;4;17;7;3;-;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;83
"314220 MIRAI";-;-;-;-;-;-;-;-;1;-;4;4;5;10;16;18;16;20;10;10;7;4;4;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;2;4;146
"314225 MIRAVANIA";-;-;-;1;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"314230 MOEDA";-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"314250 MONJOLOS";-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8
"314260 MONSENHOR PAULO";-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;3;9;5;1;7;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"314270 MONTALVANIA";-;-;-;3;1;2;1;2;1;-;1;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"314280 MONTE ALEGRE DE MINAS";-;1;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;2;1;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;3;1;2;-;23
"314290 MONTE AZUL";-;-;1;2;5;2;2;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"314300 MONTE BELO";-;-;-;-;-;-;-;-;1;1;3;-;2;4;-;1;5;10;2;-;1;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;1;3;8;16;36;35;34;66;44;8;290
"314310 MONTE CARMELO";28;97;140;145;158;229;226;308;390;388;348;359;401;383;429;366;260;145;62;21;-;-;-;1;4;1;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;4897
"314315 MONTE FORMOSO";-;-;-;-;5;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"314320 MONTE SANTO DE MINAS";-;-;-;1;1;-;-;-;-;2;1;2;1;1;-;-;8;11;8;9;3;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;58
"314330 MONTES CLAROS";1;-;2;2;1;5;8;8;4;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;40
"314340 MONTE SIAO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"314350 MORADA NOVA DE MINAS";10;10;21;26;39;48;33;48;36;52;81;80;45;45;17;14;4;6;1;-;1;-;-;-;1;1;-;-;1;1;-;3;-;3;2;1;-;1;-;-;-;1;2;-;-;-;2;-;-;-;-;-;636
"314360 MORRO DA GARCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;5;17;3;5;-;1;35
"314380 MUNHOZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314390 MURIAE";3;5;6;2;5;1;3;-;1;1;2;1;1;1;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;36
"314400 MUTUM";40;35;56;53;39;60;56;62;69;77;45;29;36;16;14;19;9;8;9;3;2;3;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;743
"314410 MUZAMBINHO";-;-;-;-;-;-;-;-;1;-;-;1;-;1;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"314420 NACIP RAYDAN";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314430 NANUQUE";-;-;-;-;4;3;-;3;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"314435 NAQUE";-;-;1;-;-;-;-;-;1;2;-;-;3;-;1;-;3;-;-;2;1;1;1;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;1;-;2;29
"314437 NATALANDIA";-;-;-;1;7;7;26;41;22;54;37;38;22;37;37;26;9;18;15;18;15;8;10;4;8;3;2;-;2;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;472
"314450 NAZARENO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;5;3;3;20;4;50
"314460 NEPOMUCENO";1;-;-;-;-;2;-;-;8;33;27;83;130;124;151;97;104;99;107;69;55;44;9;12;3;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1165
"314467 NOVA BELEM";-;-;-;-;-;-;-;2;-;-;4;1;2;1;10;2;4;2;1;3;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38
"314470 NOVA ERA";-;-;-;-;-;-;-;-;1;-;1;2;2;3;3;6;3;8;4;2;4;4;4;3;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;5;2;-;66
"314480 NOVA LIMA";1;2;1;4;1;2;2;9;12;20;40;77;104;17;1;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;299
"314490 NOVA MODICA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;6
"314500 NOVA PONTE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;1;1;-;11
"314505 NOVA PORTEIRINHA";-;1;-;4;3;2;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;16
"314510 NOVA RESENDE";-;-;-;-;-;-;1;-;-;1;-;3;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"314520 NOVA SERRANA";4;14;19;43;71;104;102;162;262;319;397;442;524;433;113;59;49;22;61;72;6;7;2;1;3;-;4;1;2;-;1;1;-;-;-;-;1;-;-;1;2;1;-;3;-;-;3;1;-;1;1;2;3316
"314530 NOVO CRUZEIRO";-;-;-;-;1;-;-;4;9;3;6;5;5;4;2;9;5;2;2;2;-;1;-;-;1;1;1;1;1;2;-;1;3;-;-;-;-;1;1;1;1;7;-;1;1;1;1;-;-;-;1;-;87
"314535 NOVO ORIENTE DE MINAS";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314545 OLHOS-D'AGUA";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3;-;1;1;-;2;9;4;7;2;14;52
"314560 OLIVEIRA";8;3;11;12;17;22;26;72;150;233;298;395;288;176;81;62;45;33;35;10;16;15;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2012
"314580 ONCA DE PITANGUI";-;-;-;-;-;-;-;2;1;3;2;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"314585 ORATORIOS";-;-;-;-;-;1;2;4;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"314587 ORIZANIA";-;-;-;-;-;-;-;-;1;-;4;-;2;3;3;3;5;6;32;25;15;8;6;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116
"314590 OURO BRANCO";-;-;-;-;-;-;1;1;2;4;1;5;2;6;5;4;8;11;7;7;4;4;5;3;2;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;89
"314600 OURO FINO";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;7
"314610 OURO PRETO";-;-;1;-;-;1;1;-;3;1;3;1;16;17;17;15;21;10;9;9;11;-;2;3;-;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;4;4;4;165
"314620 OURO VERDE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314625 PADRE CARVALHO";2;-;-;1;-;1;3;2;1;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;15
"314630 PADRE PARAISO";1;-;1;4;4;3;3;3;1;8;2;-;-;-;2;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"314640 PAINEIRAS";4;2;-;2;6;7;5;10;18;3;8;5;6;-;1;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;89
"314650 PAINS";-;-;-;-;-;-;-;2;2;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;7;5;23
"314655 PAI PEDRO";3;4;1;4;7;1;3;6;2;1;1;3;3;3;3;-;2;2;2;1;1;2;5;5;8;2;2;4;-;1;4;2;3;3;3;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;103
"314670 PALMA";-;-;-;-;1;1;-;1;1;2;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;12
"314675 PALMOPOLIS";-;3;4;13;11;10;8;2;1;-;-;3;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
"314690 PAPAGAIOS";1;2;-;1;6;2;-;2;1;-;3;3;1;4;-;3;1;3;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;-;46
"314700 PARACATU";179;179;254;183;367;234;139;206;296;181;121;145;101;66;49;40;29;35;43;24;8;6;10;5;1;3;7;2;3;4;3;3;1;4;-;2;1;2;3;1;3;5;2;-;3;5;-;9;5;5;-;3;2980
"314710 PARA DE MINAS";-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;10;24;11;55
"314720 PARAGUACU";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314740 PARAOPEBA";1;1;4;-;23;40;50;59;51;69;100;115;130;137;172;106;88;74;70;54;32;21;20;16;7;2;1;1;3;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;1;1;1;1;6;1;1463
"314750 PASSABEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314760 PASSA QUATRO";-;-;-;-;-;-;-;2;-;-;2;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"314770 PASSA TEMPO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314780 PASSA-VINTE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"314790 PASSOS";128;186;255;363;539;836;876;895;766;1187;912;786;704;491;415;293;186;110;145;60;48;45;32;40;33;28;26;21;16;12;13;26;17;25;23;21;39;25;20;35;30;34;31;39;51;32;52;41;52;62;54;35;11191
"314795 PATIS";-;-;3;2;4;11;-;1;10;14;4;-;-;1;4;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;-;-;-;-;-;-;2;1;1;-;-;-;-;65
"314800 PATOS DE MINAS";18;26;35;29;52;68;110;100;197;239;242;369;647;592;734;744;575;521;479;388;300;202;194;85;15;11;14;6;2;5;3;1;2;2;4;3;1;11;6;9;2;5;5;8;25;12;11;28;26;25;31;43;7262
"314810 PATROCINIO";10;12;16;32;42;46;54;88;111;156;185;221;265;271;297;367;233;168;199;163;106;71;65;42;21;6;8;1;4;2;3;3;-;-;2;1;1;1;-;-;-;-;-;1;-;2;-;5;2;3;6;9;3301
"314820 PATROCINIO DO MURIAE";-;3;1;3;1;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"314830 PAULA CANDIDO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"314840 PAULISTAS";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314850 PAVAO";-;-;-;-;-;1;1;-;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"314860 PECANHA";-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;2;11;15;4;5;8;1;2;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65
"314870 PEDRA AZUL";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314875 PEDRA BONITA";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314880 PEDRA DO ANTA";-;-;-;-;-;-;-;-;-;1;4;8;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"314890 PEDRA DO INDAIA";-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"314900 PEDRA DOURADA";-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"314915 PEDRAS DE MARIA DA CRUZ";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"314920 PEDRINOPOLIS";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314930 PEDRO LEOPOLDO";1;1;1;-;1;5;1;-;4;10;17;6;9;14;23;16;13;21;21;20;9;3;1;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;7;15;14;10;4;258
"314950 PEQUERI";-;-;-;-;1;-;1;1;1;-;-;-;-;1;3;4;-;6;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"314960 PEQUI";-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;12
"314970 PERDIGAO";-;-;-;1;-;8;5;4;7;14;25;22;25;27;65;52;29;29;59;36;19;16;15;7;3;3;4;-;-;-;-;1;-;-;-;-;1;3;2;-;-;4;-;-;10;3;12;17;34;64;94;78;798
"314980 PERDIZES";8;3;2;6;15;31;17;21;32;48;59;84;122;132;131;150;105;107;128;82;32;28;16;18;13;6;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1399
"314990 PERDOES";-;-;-;-;3;1;3;4;5;28;103;142;197;143;70;8;8;20;39;33;14;7;11;7;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;854
"314995 PERIQUITO";-;-;-;-;-;-;-;-;1;3;-;1;-;-;-;-;-;1;6;1;2;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;21
