DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"351920 IACRI";-;1;2;-;-;-;-;-;-;3
"351930 IBATE";1;1;-;-;-;-;-;-;-;2
"351940 IBIRA";1;-;-;-;-;1;-;-;-;2
"351960 IBITINGA";1;1;5;3;-;1;-;1;-;12
"351970 IBIUNA";-;1;-;-;-;-;-;-;-;1
"351980 ICEM";-;-;-;1;1;1;-;-;1;4
"351990 IEPE";-;-;1;-;-;-;-;1;-;2
"352010 IGARAPAVA";1;1;-;-;1;-;-;-;-;3
"352020 IGARATA";-;-;-;-;1;-;-;-;-;1
"352040 ILHABELA";-;-;1;-;1;-;1;2;-;5
"352042 ILHA COMPRIDA";-;1;1;-;-;1;-;-;-;3
"352044 ILHA SOLTEIRA";1;-;-;-;-;-;1;-;-;2
"352050 INDAIATUBA";3;2;2;2;5;7;3;-;-;24
"352060 INDIANA";-;-;1;1;-;1;-;-;-;3
"352100 IPERO";-;-;1;-;-;-;-;-;-;1
"352110 IPEUNA";-;-;-;-;-;1;1;-;-;2
"352160 IRAPURU";-;1;-;-;-;-;-;-;-;1
"352170 ITABERA";-;-;1;-;-;-;-;-;-;1
"352180 ITAI";-;-;1;3;-;-;-;1;-;5
"352190 ITAJOBI";1;1;2;-;-;-;-;1;3;8
"352210 ITANHAEM";6;8;3;10;6;2;-;-;-;35
"352230 ITAPETININGA";-;2;-;-;1;1;-;-;-;4
"352240 ITAPEVA";3;5;2;1;1;1;1;-;-;14
"352250 ITAPEVI";1;-;-;1;1;-;-;-;-;3
"352260 ITAPIRA";1;-;1;-;-;1;-;-;-;3
"352280 ITAPORANGA";-;-;-;-;2;-;1;-;1;4
"352290 ITAPUI";1;-;-;-;1;-;-;-;-;2
"352310 ITAQUAQUECETUBA";-;1;-;-;-;-;-;-;-;1
"352320 ITARARE";1;1;2;2;1;-;-;-;-;7
"352330 ITARIRI";-;-;-;-;1;-;-;-;-;1
"352340 ITATIBA";-;-;-;-;-;-;1;-;-;1
"352350 ITATINGA";-;1;-;-;-;-;1;-;-;2
"352360 ITIRAPINA";1;1;-;1;-;2;2;-;-;7
"352370 ITIRAPUA";-;-;-;-;-;-;1;-;-;1
"352390 ITU";10;4;-;4;4;2;2;4;3;33
"352400 ITUPEVA";-;2;-;-;-;1;-;-;-;3
"352420 JABORANDI";-;1;1;-;-;1;-;6;1;10
"352430 JABOTICABAL";-;-;-;-;-;-;-;1;-;1
"352440 JACAREI";36;88;100;82;87;111;129;134;115;882
"352470 JAGUARIUNA";10;9;10;8;11;9;5;6;1;69
"352480 JALES";-;1;1;2;-;-;-;2;-;6
"352490 JAMBEIRO";-;-;-;-;-;1;-;-;-;1
"352500 JANDIRA";-;1;1;-;-;-;-;-;-;2
"352510 JARDINOPOLIS";3;-;1;3;-;1;-;-;-;8
"352530 JAU";1;-;-;-;-;-;1;-;-;2
"352540 JERIQUARA";-;-;-;-;1;-;1;1;-;3
"352550 JOANOPOLIS";-;1;-;-;-;-;-;-;-;1
"352570 JOSE BONIFACIO";1;1;-;-;1;1;1;1;1;7
"352590 JUNDIAI";-;1;-;1;-;1;-;-;1;4
"352600 JUNQUEIROPOLIS";8;7;8;18;10;3;7;2;-;63
"352610 JUQUIA";-;-;-;1;-;-;-;-;-;1
"352620 JUQUITIBA";-;-;-;-;1;-;-;-;-;1
"352630 LAGOINHA";-;-;-;-;-;1;6;1;-;8
"352640 LARANJAL PAULISTA";-;-;-;-;-;-;-;2;-;2
"352650 LAVINIA";-;-;-;-;-;-;-;1;-;1
"352660 LAVRINHAS";-;-;-;-;-;1;2;-;-;3
"352670 LEME";-;2;1;1;1;1;1;2;-;9
"352680 LENCOIS PAULISTA";2;1;1;-;-;3;1;-;-;8
"352690 LIMEIRA";2;-;-;1;-;2;1;1;-;7
"352700 LINDOIA";-;-;-;-;1;-;-;-;-;1
"352710 LINS";-;-;-;-;-;-;1;-;-;1
"352720 LORENA";1;-;1;-;-;2;-;2;1;7
"352730 LOUVEIRA";1;1;-;-;-;-;1;1;-;4
"352740 LUCELIA";1;-;-;-;-;-;-;-;-;1
"352760 LUIS ANTONIO";-;-;1;1;1;1;3;4;-;11
"352770 LUIZIANIA";-;-;-;1;-;-;-;-;-;1
"352780 LUPERCIO";-;-;-;-;-;1;3;-;-;4
"352790 LUTECIA";-;-;-;-;-;-;1;1;-;2
"352800 MACATUBA";-;-;-;-;-;-;-;1;-;1
"352810 MACAUBAL";1;-;1;-;-;-;-;-;-;2
"352870 MARABA PAULISTA";-;-;-;-;-;-;-;-;1;1
"352885 MARAPOAMA";-;-;-;-;-;-;-;2;-;2
"352890 MARIAPOLIS";-;-;-;1;-;-;1;-;-;2
"352900 MARILIA";6;4;2;3;2;4;8;15;6;50
"352910 MARINOPOLIS";-;-;-;1;-;1;-;-;-;2
"352930 MATAO";1;2;2;-;-;-;6;2;2;15
"352940 MAUA";4;1;2;1;-;1;-;-;-;9
"352980 MINEIROS DO TIETE";-;-;-;-;-;2;-;-;-;2
"353010 MIRANDOPOLIS";-;-;1;1;-;-;-;-;-;2
"353020 MIRANTE DO PARANAPANEMA";-;-;2;1;2;1;-;-;-;6
"353030 MIRASSOL";-;-;-;-;2;1;1;1;-;5
"353050 MOCOCA";3;2;-;2;-;-;-;1;-;8
"353060 MOGI DAS CRUZES";3;-;-;3;1;4;1;1;-;13
"353070 MOGI GUACU";-;-;-;-;3;3;1;1;-;8
"353080 MOGI MIRIM";14;8;11;9;10;18;12;3;-;85
"353090 MOMBUCA";-;-;-;-;-;1;1;-;-;2
"353100 MONCOES";1;1;-;-;-;-;-;-;-;2
"353110 MONGAGUA";1;-;-;-;-;-;1;-;-;2
"353130 MONTE ALTO";-;-;-;-;-;1;-;-;-;1
"353140 MONTE APRAZIVEL";4;1;1;1;-;1;3;2;1;14
"353160 MONTE CASTELO";1;-;1;4;4;1;-;7;5;23
"353180 MONTE MOR";-;-;-;-;2;3;3;3;1;12
"353190 MORRO AGUDO";1;-;-;-;-;-;1;-;-;2
"353200 MORUNGABA";1;-;-;1;-;-;1;-;-;3
"353205 MOTUCA";-;1;-;1;-;1;-;2;-;5
"353210 MURUTINGA DO SUL";-;1;-;-;-;-;-;-;-;1
"353215 NANTES";-;-;-;-;-;-;1;-;-;1
"353220 NARANDIBA";-;1;1;-;1;2;3;6;4;18
"353260 NHANDEARA";-;-;-;-;-;-;1;-;-;1
"353270 NIPOA";-;-;-;1;-;-;-;-;1;2
"353280 NOVA ALIANCA";1;-;3;-;-;-;-;-;-;4
"353300 NOVA GRANADA";5;1;4;5;9;2;3;6;2;37
"353310 NOVA GUATAPORANGA";9;11;9;1;4;6;4;3;3;50
"353320 NOVA INDEPENDENCIA";1;-;-;-;-;-;-;1;-;2
"353340 NOVA ODESSA";2;-;4;1;1;2;6;1;-;17
"353350 NOVO HORIZONTE";-;-;1;-;-;-;-;2;-;3
"353360 NUPORANGA";-;-;-;-;1;-;-;-;-;1
"353370 OCAUCU";-;-;-;-;1;-;-;-;-;1
"353390 OLIMPIA";2;4;4;2;5;1;5;9;3;35
"353400 ONDA VERDE";1;1;-;-;-;-;-;-;-;2
"353420 ORINDIUVA";-;1;-;-;-;1;1;-;1;4
"353440 OSASCO";15;55;64;21;71;55;85;35;3;404
"353460 OSVALDO CRUZ";1;-;-;3;1;3;-;-;-;8
"353470 OURINHOS";1;1;-;-;-;2;3;3;8;18
"353480 OURO VERDE";-;-;-;-;-;-;1;-;-;1
"353500 PALESTINA";1;-;3;1;-;1;2;1;1;10
"353510 PALMARES PAULISTA";2;1;-;2;2;-;-;-;-;7
"353520 PALMEIRA D'OESTE";6;4;4;1;1;1;7;4;-;28
"353530 PALMITAL";-;-;1;-;-;-;1;-;1;3
"353540 PANORAMA";-;-;-;1;1;-;-;1;-;3
"353550 PARAGUACU PAULISTA";2;1;2;-;-;1;2;3;-;11
"353560 PARAIBUNA";-;-;-;-;1;1;-;-;-;2
"353580 PARANAPANEMA";-;-;-;-;-;-;1;-;-;1
"353590 PARANAPUA";-;-;-;-;-;-;-;1;-;1
"353600 PARAPUA";-;-;-;-;-;-;-;2;-;2
"353620 PARIQUERA-ACU";-;-;-;-;-;-;-;1;1;2
"353650 PAULINIA";1;1;1;3;3;4;2;1;-;16
"353660 PAULO DE FARIA";-;1;-;-;-;-;2;-;-;3
"353670 PEDERNEIRAS";2;-;4;-;-;-;-;2;-;8
"353700 PEDREGULHO";1;-;-;-;-;-;-;-;-;1
"353710 PEDREIRA";-;1;2;1;-;-;-;-;-;4
"353715 PEDRINHAS PAULISTA";-;-;-;-;-;-;2;1;-;3
"353720 PEDRO DE TOLEDO";-;-;-;-;-;-;1;-;-;1
"353730 PENAPOLIS";1;3;1;2;-;-;-;-;-;7
"353740 PEREIRA BARRETO";-;1;1;1;5;1;4;8;7;28
"353750 PEREIRAS";-;1;-;-;2;-;-;-;-;3
"353770 PIACATU";2;-;-;-;-;-;-;1;-;3
"353780 PIEDADE";1;-;1;-;-;-;-;-;-;2
"353790 PILAR DO SUL";1;-;-;-;-;-;2;-;-;3
"353800 PINDAMONHANGABA";6;4;2;7;2;3;1;-;1;26
"353850 PIQUETE";-;-;-;-;-;-;-;1;-;1
"353870 PIRACICABA";-;2;-;4;3;3;3;1;-;16
"353880 PIRAJU";-;-;1;-;-;-;-;-;-;1
"353890 PIRAJUI";-;2;2;-;-;-;-;-;-;4
"353900 PIRANGI";-;-;1;-;-;-;-;-;-;1
"353920 PIRAPOZINHO";12;3;4;3;5;6;3;5;4;45
"353930 PIRASSUNUNGA";1;-;-;-;1;2;1;-;-;5
"353950 PITANGUEIRAS";-;-;2;4;9;1;5;7;-;28
"353960 PLANALTO";1;-;-;-;-;-;1;-;1;3
"353970 PLATINA";-;-;-;-;-;-;1;3;-;4
"353980 POA";-;-;-;-;1;-;-;-;-;1
"353990 POLONI";-;-;-;-;1;-;-;-;-;1
"354000 POMPEIA";3;2;2;1;2;-;2;-;-;12
"354020 PONTAL";1;-;-;-;-;-;-;-;-;1
"354040 POPULINA";1;1;3;-;2;2;-;-;-;9
"354060 PORTO FELIZ";-;-;-;1;-;-;-;-;-;1
"354080 POTIRENDABA";-;-;-;1;-;-;-;2;-;3
"354090 PRADOPOLIS";-;1;-;-;-;-;1;1;-;3
"354100 PRAIA GRANDE";2;2;2;2;6;6;9;10;1;40
"354105 PRATANIA";1;-;-;-;-;-;-;-;-;1
"354120 PRESIDENTE BERNARDES";-;1;-;-;-;-;-;1;-;2
"354130 PRESIDENTE EPITACIO";2;2;1;7;3;1;2;6;1;25
"354140 PRESIDENTE PRUDENTE";-;1;3;-;-;-;2;2;2;10
"354150 PRESIDENTE VENCESLAU";1;1;2;2;3;2;3;1;-;15
"354170 QUATA";-;-;-;-;-;-;1;-;-;1
"354220 RANCHARIA";1;2;1;3;2;-;-;-;2;11
"354240 REGENTE FEIJO";-;-;-;1;1;3;2;2;-;9
"354260 REGISTRO";-;2;-;-;-;2;-;2;-;6
"354300 RIBEIRAO BRANCO";1;-;-;-;-;-;-;-;-;1
"354320 RIBEIRAO DO SUL";-;-;-;-;-;-;-;1;-;1
"354340 RIBEIRAO PRETO";12;18;58;63;14;12;6;5;4;192
"354390 RIO CLARO";2;7;-;3;-;2;-;-;-;14
"354420 RIOLANDIA";-;1;1;1;1;-;-;-;-;4
"354425 ROSANA";-;-;-;-;-;-;-;1;-;1
"354430 ROSEIRA";-;-;2;-;-;-;-;-;-;2
"354440 RUBIACEA";-;-;-;-;1;-;1;-;-;2
"354450 RUBINEIA";1;1;1;-;2;-;3;3;-;11
"354470 SAGRES";1;-;-;-;-;-;-;1;1;3
"354490 SALES OLIVEIRA";3;3;3;-;-;1;-;-;-;10
"354500 SALESOPOLIS";-;-;-;-;-;-;-;-;2;2
"354510 SALMOURAO";-;-;1;-;-;2;-;-;-;3
"354520 SALTO";1;-;-;-;1;1;2;1;2;8
"354540 SALTO GRANDE";1;1;-;-;-;1;-;-;-;3
"354550 SANDOVALINA";-;-;-;-;1;-;3;-;-;4
"354580 SANTA BARBARA D'OESTE";6;4;1;2;-;-;-;1;-;14
"354600 SANTA BRANCA";-;-;1;1;2;1;1;-;-;6
"354620 SANTA CRUZ DA CONCEICAO";-;-;-;1;-;-;-;-;-;1
"354630 SANTA CRUZ DAS PALMEIRAS";-;-;1;-;-;-;-;1;-;2
"354640 SANTA CRUZ DO RIO PARDO";-;-;-;-;-;-;-;1;-;1
"354660 SANTA FE DO SUL";3;4;5;-;3;6;-;9;6;36
"354670 SANTA GERTRUDES";-;-;1;-;-;-;-;-;-;1
"354680 SANTA ISABEL";1;1;-;-;-;-;-;-;-;2
"354690 SANTA LUCIA";-;-;-;-;-;1;-;-;-;1
"354730 SANTANA DE PARNAIBA";3;1;-;4;5;6;3;-;-;22
"354750 SANTA RITA DO PASSA QUATRO";2;1;-;3;-;-;4;1;1;12
"354760 SANTA ROSA DE VITERBO";-;-;-;-;-;1;-;-;-;1
"354770 SANTO ANASTACIO";4;2;9;3;1;-;1;-;-;20
"354780 SANTO ANDRE";10;6;3;3;1;1;-;-;-;24
"354800 SANTO ANTONIO DE POSSE";-;-;1;1;1;-;1;1;-;5
"354810 SANTO ANTONIO DO JARDIM";-;-;-;-;-;1;1;-;-;2
"354830 SANTO EXPEDITO";-;-;-;-;-;1;-;-;-;1
"354840 SANTOPOLIS DO AGUAPEI";-;-;-;-;-;-;-;1;-;1
"354850 SANTOS";10;18;10;13;15;14;17;15;1;113
"354860 SAO BENTO DO SAPUCAI";-;1;-;-;-;-;1;-;-;2
"354870 SAO BERNARDO DO CAMPO";1;1;3;-;1;-;-;-;-;6
"354880 SAO CAETANO DO SUL";1;-;1;-;2;-;-;-;-;4
"354890 SAO CARLOS";16;7;12;18;22;22;20;20;22;159
"354910 SAO JOAO DA BOA VISTA";8;8;5;13;15;14;8;2;-;73
"354930 SAO JOAO DO PAU D'ALHO";-;1;3;9;3;5;9;3;-;33
"354950 SAO JOSE DA BELA VISTA";-;-;-;-;-;1;-;-;-;1
"354970 SAO JOSE DO RIO PARDO";11;6;6;5;1;-;-;1;-;30
"354980 SAO JOSE DO RIO PRETO";183;166;161;145;101;20;18;6;14;814
"354990 SAO JOSE DOS CAMPOS";34;27;24;32;34;55;46;29;13;294
"355010 SAO MANUEL";-;6;2;4;-;-;1;-;-;13
"355020 SAO MIGUEL ARCANJO";-;-;-;-;-;2;5;3;3;13
"355030 SAO PAULO";195;191;216;239;288;289;305;287;132;2142
"355040 SAO PEDRO";7;10;10;8;6;11;22;30;10;114
"355050 SAO PEDRO DO TURVO";-;-;1;2;-;-;-;-;-;3
"355060 SAO ROQUE";1;-;-;-;-;-;-;-;-;1
"355070 SAO SEBASTIAO";3;-;4;1;3;-;2;1;1;15
"355090 SAO SIMAO";1;1;1;-;-;-;-;-;-;3
"355100 SAO VICENTE";-;-;-;-;-;1;-;-;-;1
"355130 SEBASTIANOPOLIS DO SUL";-;-;1;-;-;-;-;-;-;1
"355140 SERRA AZUL";-;-;1;-;1;-;-;-;-;2
"355150 SERRANA";5;5;13;10;3;1;2;2;-;41
"355170 SERTAOZINHO";2;-;4;3;-;1;1;3;3;17
"355180 SETE BARRAS";-;3;-;-;-;-;-;1;-;4
"355190 SEVERINIA";-;4;2;1;1;-;2;-;-;10
"355220 SOROCABA";5;3;1;2;3;7;3;2;-;26
"355230 SUD MENNUCCI";1;-;-;-;-;-;1;1;1;4
"355240 SUMARE";-;-;4;1;3;4;3;5;2;22
"355250 SUZANO";-;-;-;4;-;-;-;1;-;5
"355260 TABAPUA";-;2;-;-;1;-;3;-;-;6
"355280 TABOAO DA SERRA";1;-;-;-;-;-;-;-;-;1
"355290 TACIBA";2;-;-;4;3;5;5;-;-;19
"355300 TAGUAI";-;1;1;-;-;1;-;-;-;3
"355310 TAIACU";-;-;-;1;-;-;-;-;-;1
"355330 TAMBAU";-;-;1;-;-;-;-;-;-;1
"355340 TANABI";1;-;1;1;-;-;1;9;9;22
"355370 TAQUARITINGA";-;-;-;1;1;-;1;5;3;11
"355390 TARABAI";-;-;-;1;-;-;-;-;-;1
"355400 TATUI";-;2;1;-;-;-;1;-;1;5
"355410 TAUBATE";2;3;2;3;2;7;11;24;2;56
"355430 TEODORO SAMPAIO";9;19;19;14;35;40;43;41;4;224
"355440 TERRA ROXA";-;-;-;1;1;1;1;1;-;5
"355450 TIETE";-;2;-;-;-;-;-;1;-;3
"355470 TORRINHA";-;-;-;-;-;-;1;-;-;1
"355480 TREMEMBE";3;3;7;7;9;6;9;22;3;69
"355500 TUPA";4;2;1;-;1;3;-;-;-;11
"355510 TUPI PAULISTA";1;-;1;2;2;3;3;-;-;12
"355540 UBATUBA";42;35;29;21;30;22;36;18;-;233
"355550 UBIRAJARA";-;-;-;-;-;-;-;-;1;1
"355580 URANIA";1;-;-;-;-;-;-;-;-;1
"355600 URUPES";3;4;-;2;1;1;1;-;-;12
"355620 VALINHOS";-;-;-;-;2;-;1;3;-;6
"355630 VALPARAISO";-;-;-;1;-;2;9;15;13;40
"355640 VARGEM GRANDE DO SUL";-;1;-;2;-;-;1;-;-;4
"355650 VARZEA PAULISTA";4;5;-;-;-;1;-;-;2;12
"355660 VERA CRUZ";-;3;-;1;-;-;1;2;-;7
"355670 VINHEDO";-;-;-;-;-;-;2;1;-;3
"355690 VISTA ALEGRE DO ALTO";2;-;1;-;-;-;-;1;1;5
"355700 VOTORANTIM";-;-;-;-;1;-;1;1;1;4
"355710 VOTUPORANGA";21;23;15;14;8;5;1;-;-;87
"355720 CHAVANTES";-;-;-;-;-;-;1;-;-;1
"410040 ALMIRANTE TAMANDARE";-;-;-;-;-;-;2;-;-;2
"410045 ALTAMIRA DO PARANA";1;-;1;-;-;-;-;-;-;2
"410090 AMAPORA";-;-;-;-;-;-;1;-;-;1
"410110 ANDIRA";3;2;1;3;7;4;7;4;2;33
"410115 ANGULO";-;-;-;-;-;-;-;-;1;1
"410120 ANTONINA";-;-;1;2;5;6;11;3;-;28
"410150 ARAPONGAS";1;1;-;1;2;1;1;-;-;7
"410160 ARAPOTI";1;-;-;-;-;-;-;-;-;1
"410165 ARAPUA";-;-;-;-;1;-;-;-;-;1
"410170 ARARUNA";1;-;-;-;-;1;-;-;-;2
"410200 ASSIS CHATEAUBRIAND";-;-;-;-;-;1;-;-;-;1
"410210 ASTORGA";-;-;-;-;-;-;1;-;1;2
"410240 BANDEIRANTES";2;1;2;1;1;-;-;-;-;7
"410250 BARBOSA FERRAZ";-;1;-;-;-;-;-;-;-;1
"410260 BARRACAO";-;-;1;-;-;-;-;-;-;1
"410270 BARRA DO JACARE";-;-;-;-;-;1;1;1;-;3
"410305 BOA VISTA DA APARECIDA";-;-;-;1;-;-;3;5;2;11
"410310 BOCAIUVA DO SUL";-;-;-;1;-;-;-;-;-;1
"410345 CAFELANDIA";2;2;-;-;3;19;10;18;7;61
"410347 CAFEZAL DO SUL";-;-;2;-;-;-;-;-;-;2
"410370 CAMBE";-;-;1;-;2;-;1;1;1;6
"410390 CAMPINA DA LAGOA";3;1;6;5;1;3;4;2;1;26
"410425 CAMPO MAGRO";-;-;1;-;-;-;-;-;-;1
"410430 CAMPO MOURAO";-;-;1;-;1;-;7;2;3;14
"410450 CAPANEMA";1;1;1;-;-;-;-;-;-;3
"410460 CAPITAO LEONIDAS MARQUES";-;-;1;-;-;-;1;-;-;2
"410480 CASCAVEL";-;1;2;2;-;1;-;1;-;7
"410490 CASTRO";-;-;-;1;-;-;-;2;-;3
"410500 CATANDUVAS";1;-;-;-;-;-;-;-;-;1
"410510 CENTENARIO DO SUL";-;-;-;-;-;-;2;-;-;2
"410540 CHOPINZINHO";-;-;-;-;-;1;-;5;2;8
"410550 CIANORTE";-;-;-;-;-;-;-;-;1;1
"410560 CIDADE GAUCHA";-;1;-;-;-;1;-;-;-;2
"410570 CLEVELANDIA";1;-;-;1;-;-;-;-;-;2
"410580 COLOMBO";1;-;-;-;1;-;-;1;-;3
"410590 COLORADO";1;-;1;1;-;1;1;-;-;5
"410630 CORBELIA";-;-;-;-;-;-;1;-;-;1
"410640 CORNELIO PROCOPIO";1;-;-;-;1;-;1;-;-;3
"410645 CORONEL DOMINGOS SOARES";-;-;1;-;1;-;-;-;-;2
"410650 CORONEL VIVIDA";1;-;1;-;-;-;-;-;-;2
"410657 CRUZEIRO DO IGUACU";-;-;-;-;1;-;-;-;-;1
"410660 CRUZEIRO DO OESTE";1;2;1;-;-;-;-;-;1;5
"410690 CURITIBA";11;6;3;2;2;2;3;-;1;30
"410720 DOIS VIZINHOS";-;1;-;-;1;-;-;3;-;5
"410725 DOURADINA";-;-;-;1;-;1;-;-;-;2
"410730 DOUTOR CAMARGO";-;-;-;-;-;-;-;-;2;2
"410753 ENTRE RIOS DO OESTE";-;-;-;-;-;-;1;3;-;4
"410760 FAXINAL";1;1;3;-;-;-;-;-;-;5
"410765 FAZENDA RIO GRANDE";-;-;-;-;-;-;-;-;1;1
"410790 FLORESTA";1;-;-;-;-;1;-;-;-;2
"410820 FORMOSA DO OESTE";-;-;-;-;-;-;-;1;-;1
"410830 FOZ DO IGUACU";1;3;-;2;1;3;2;7;10;29
"410832 FRANCISCO ALVES";-;1;1;-;-;-;-;-;-;2
"410840 FRANCISCO BELTRAO";1;1;-;1;1;-;-;1;-;5
"410855 GODOY MOREIRA";-;-;-;-;-;-;-;1;-;1
"410860 GOIOERE";1;-;-;-;-;-;1;-;-;2
"410870 GRANDES RIOS";1;-;-;-;-;-;-;1;-;2
"410880 GUAIRA";-;1;1;-;-;-;-;-;-;2
"410890 GUAIRACA";-;-;-;-;-;1;1;-;-;2
"410910 GUAPOREMA";-;-;-;-;-;-;1;-;-;1
"410920 GUARACI";-;-;-;-;-;-;-;1;-;1
"410940 GUARAPUAVA";13;-;-;-;-;-;-;-;-;13
"410960 GUARATUBA";2;1;1;-;1;-;1;-;1;7
"410980 IBIPORA";-;-;-;1;-;3;1;1;-;6
"410990 ICARAIMA";1;1;-;-;-;-;-;5;3;10
"411010 IMBITUVA";-;-;-;-;-;-;1;-;-;1
"411040 INDIANOPOLIS";-;-;-;-;1;-;-;-;-;1
"411080 IRETAMA";-;1;-;1;-;-;-;-;-;2
"411100 ITAMBARACA";1;-;-;-;1;1;-;1;-;4
"411120 ITAPEJARA D'OESTE";-;-;-;-;-;-;1;-;-;1
"411150 IVAIPORA";1;-;-;-;-;-;-;-;-;1
"411155 IVATE";-;-;1;-;-;-;-;-;-;1
"411180 JACAREZINHO";1;-;-;1;7;6;7;7;1;30
"411190 JAGUAPITA";-;-;1;-;-;-;-;-;-;1
"411200 JAGUARIAIVA";1;-;1;-;-;-;-;-;-;2
"411210 JANDAIA DO SUL";-;1;-;-;-;1;-;1;-;3
"411220 JANIOPOLIS";-;-;1;-;-;-;-;-;-;1
"411260 JARDIM OLINDA";-;2;-;-;-;-;-;-;-;2
"411280 JOAQUIM TAVORA";-;-;-;1;1;-;-;-;-;2
"411295 JURANDA";2;1;1;1;1;3;3;-;-;12
"411330 LARANJEIRAS DO SUL";-;1;1;1;1;1;1;1;-;7
"411340 LEOPOLIS";6;3;-;5;2;5;7;7;3;38
"411370 LONDRINA";8;14;19;16;38;47;30;14;3;189
"411380 LUPIONOPOLIS";-;-;1;-;-;-;-;-;-;1
"411390 MALLET";1;-;-;-;1;-;-;-;-;2
"411410 MANDAGUACU";1;4;1;-;1;-;2;-;3;12
"411420 MANDAGUARI";2;2;4;-;1;-;2;6;-;17
"411440 MANGUEIRINHA";2;3;1;1;-;-;-;3;7;17
"411460 MARECHAL CANDIDO RONDON";5;1;5;1;1;7;16;22;11;69
"411480 MARIALVA";1;1;1;-;1;-;-;-;-;4
"411490 MARILANDIA DO SUL";-;-;1;-;-;-;-;-;-;1
"411500 MARILENA";2;1;-;1;-;-;-;-;-;4
"411520 MARINGA";1;-;1;2;2;4;15;40;41;106
"411540 MARMELEIRO";-;1;1;-;-;1;-;-;1;4
"411560 MATELANDIA";-;2;1;-;-;-;-;-;1;4
"411570 MATINHOS";3;3;3;1;-;1;-;1;-;12
"411585 MERCEDES";-;-;-;-;-;-;-;1;-;1
"411590 MIRADOR";-;-;-;1;-;-;3;-;-;4
"411600 MIRASELVA";1;-;-;-;-;-;-;-;-;1
"411610 MOREIRA SALES";-;-;-;-;-;1;2;1;-;4
"411620 MORRETES";1;-;-;-;-;-;-;1;-;2
"411640 NOSSA SENHORA DAS GRACAS";1;-;-;-;-;-;-;-;-;1
"411670 NOVA AURORA";2;8;4;2;1;5;7;6;4;39
"411690 NOVA ESPERANCA";-;-;-;1;-;-;-;-;-;1
"411710 NOVA LONDRINA";-;1;-;1;-;-;-;-;-;2
"411720 NOVA OLIMPIA";-;-;-;-;-;-;1;1;-;2
"411721 NOVA SANTA BARBARA";-;-;1;-;-;-;-;-;-;1
"411722 NOVA SANTA ROSA";1;1;5;1;-;1;-;3;3;15
"411729 NOVO ITACOLOMI";1;-;3;1;1;-;-;-;-;6
"411730 ORTIGUEIRA";-;-;-;-;-;-;1;-;-;1
"411750 PAICANDU";-;-;-;-;-;2;4;6;-;12
"411780 PALMITAL";-;-;-;-;-;1;-;1;-;2
"411820 PARANAGUA";9;6;15;7;21;10;10;11;-;89
"411830 PARANAPOEMA";15;17;11;9;8;14;4;24;6;108
"411840 PARANAVAI";13;7;12;8;10;13;12;5;1;81
"411850 PATO BRANCO";8;6;10;6;7;-;-;1;-;38
"411885 PEROBAL";-;-;-;-;-;-;1;-;2;3
"411890 PEROLA";-;-;2;-;1;1;-;-;-;4
"411900 PEROLA D'OESTE";-;-;-;1;-;-;-;-;-;1
"411915 PINHAIS";-;-;1;-;-;-;1;-;-;2
"411930 PINHAO";1;-;-;-;-;-;-;-;-;1
"411960 PITANGA";-;-;-;1;1;-;-;-;-;2
"411990 PONTA GROSSA";3;2;1;2;1;-;-;-;-;9
"411995 PONTAL DO PARANA";2;-;-;1;3;1;-;-;-;7
"412000 PORECATU";-;-;-;-;-;-;-;1;-;1
"412060 PRUDENTOPOLIS";-;1;-;-;-;1;1;1;-;4
"412065 QUARTO CENTENARIO";-;-;-;1;-;1;1;-;-;3
"412085 QUATRO PONTES";-;-;1;-;-;-;3;2;-;6
"412100 QUERENCIA DO NORTE";-;1;-;-;1;-;1;1;1;5
"412180 RIBEIRAO CLARO";4;6;6;2;2;-;3;2;1;26
"412240 ROLANDIA";-;-;-;-;-;-;2;18;24;44
"412270 SABAUDIA";1;-;-;-;-;-;-;-;-;1
"412310 SANTA AMELIA";-;-;-;-;-;1;-;4;-;5
"412320 SANTA CECILIA DO PAVAO";1;1;1;-;-;-;-;-;-;3
"412330 SANTA CRUZ DE MONTE CASTELO";1;-;-;-;1;-;-;-;-;2
"412340 SANTA FE";1;1;3;-;1;-;-;-;-;6
"412350 SANTA HELENA";-;-;2;-;-;-;-;-;-;2
"412370 SANTA ISABEL DO IVAI";-;1;-;-;1;-;1;3;-;6
"412402 SANTA TEREZA DO OESTE";-;-;-;-;-;-;1;-;-;1
"412405 SANTA TEREZINHA DE ITAIPU";-;-;-;-;-;-;1;-;-;1
"412410 SANTO ANTONIO DA PLATINA";-;-;-;3;9;11;8;10;10;51
"412440 SANTO ANTONIO DO SUDOESTE";-;1;-;1;1;-;-;-;-;3
"412450 SANTO INACIO";-;2;1;2;-;3;2;2;-;12
"412530 SAO JORGE DO IVAI";-;-;-;-;-;-;1;-;-;1
"412540 SAO JOSE DA BOA VISTA";1;-;-;-;-;1;-;-;-;2
